Europe Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1950,0.28
1951,0.20
1952,-0.10
1953,0.21
1954,-0.28
1955,-0.08
1956,-1.08
1957,0.23
1958,-0.04
1959,0.32
1960,0.25
1961,0.69
1962,-0.20
1963,-0.41
1964,-0.14
1965,-0.55
1966,0.26
1967,0.21
1968,-0.04
1969,-0.47
1970,-0.15
1971,0.00
1972,0.00
1973,-0.04
1974,0.32
1975,0.59
1976,-0.46
1977,0.01
1978,-0.47
1979,-0.07
1980,-0.54
1981,0.04
1982,0.25
1983,0.47
1984,0.05
1985,-0.68
1986,-0.12
1987,-0.63
1988,0.30
1989,1.06
1990,1.03
1991,0.21
1992,0.45
1993,0.00
1994,0.85
1995,0.62
1996,-0.15
1997,0.48
1998,0.61
1999,1.08
2000,1.26
2001,0.87
2002,1.10
2003,0.90
2004,0.76
2005,0.78
2006,1.07
2007,1.38
2008,1.27
2009,1.07
2010,0.59
2011,1.22
2012,0.98
2013,1.05
2014,1.79
2015,1.72
2016,1.50
2017,1.39
2018,1.88
2019,1.83
