South America Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1950,-0.22
1951,-0.03
1952,-0.01
1953,0.16
1954,-0.18
1955,-0.36
1956,-0.49
1957,0.03
1958,0.26
1959,0.06
1960,-0.02
1961,0.18
1962,-0.07
1963,0.19
1964,-0.15
1965,0.12
1966,0.08
1967,0.09
1968,-0.06
1969,0.43
1970,0.23
1971,-0.18
1972,0.20
1973,0.21
1974,-0.16
1975,-0.04
1976,-0.10
1977,0.39
1978,0.24
1979,0.21
1980,0.40
1981,0.26
1982,0.37
1983,0.54
1984,0.15
1985,0.25
1986,0.39
1987,0.69
1988,0.33
1989,0.25
1990,0.42
1991,0.48
1992,0.34
1993,0.48
1994,0.65
1995,0.67
1996,0.48
1997,0.82
1998,1.02
1999,0.46
2000,0.39
2001,0.72
2002,0.91
2003,0.86
2004,0.77
2005,0.87
2006,0.88
2007,0.69
2008,0.75
2009,0.98
2010,0.97
2011,0.78
2012,1.00
2013,0.90
2014,1.13
2015,1.47
2016,1.20
2017,1.25
2018,1.03
2019,1.30
