Northern Hemisphere Land and Ocean Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1950,-0.15
1951,0.09
1952,0.07
1953,0.22
1954,-0.02
1955,-0.05
1956,-0.19
1957,0.07
1958,0.19
1959,0.13
1960,0.10
1961,0.12
1962,0.15
1963,0.20
1964,-0.14
1965,-0.11
1966,0.04
1967,0.06
1968,-0.01
1969,0.01
1970,0.01
1971,-0.11
1972,-0.14
1973,0.13
1974,-0.16
1975,-0.01
1976,-0.17
1977,0.15
1978,0.07
1979,0.14
1980,0.21
1981,0.37
1982,0.11
1983,0.28
1984,0.05
1985,0.03
1986,0.17
1987,0.30
1988,0.39
1989,0.29
1990,0.50
1991,0.40
1992,0.16
1993,0.22
1994,0.37
1995,0.57
1996,0.29
1997,0.54
1998,0.71
1999,0.52
2000,0.50
2001,0.65
2002,0.69
2003,0.74
2004,0.68
2005,0.82
2006,0.78
2007,0.79
2008,0.66
2009,0.70
2010,0.88
2011,0.70
2012,0.76
2013,0.79
2014,0.88
2015,1.13
2016,1.21
2017,1.12
2018,0.99
2019,1.14
