Southern Hemisphere Land and Ocean Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1950,-0.15
1951,-0.11
1952,0.01
1953,0.01
1954,-0.20
1955,-0.23
1956,-0.18
1957,0.07
1958,0.05
1959,0.02
1960,-0.01
1961,0.07
1962,0.05
1963,0.02
1964,-0.15
1965,-0.03
1966,-0.07
1967,-0.08
1968,-0.05
1969,0.21
1970,0.12
1971,-0.02
1972,0.22
1973,0.26
1974,0.04
1975,0.05
1976,0.05
1977,0.28
1978,0.18
1979,0.33
1980,0.36
1981,0.28
1982,0.29
1983,0.45
1984,0.30
1985,0.30
1986,0.31
1987,0.48
1988,0.40
1989,0.31
1990,0.40
1991,0.39
1992,0.33
1993,0.36
1994,0.32
1995,0.37
1996,0.37
1997,0.49
1998,0.60
1999,0.37
2000,0.35
2001,0.49
2002,0.56
2003,0.54
2004,0.49
2005,0.52
2006,0.50
2007,0.45
2008,0.43
2009,0.59
2010,0.57
2011,0.45
2012,0.52
2013,0.56
2014,0.60
2015,0.72
2016,0.77
2017,0.70
2018,0.66
2019,0.75
